,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
1,12/31/22,51933,0,jefferson park,41.981876,-87.7778,49.17166667,54.72222222,None
2,12/31/22,124677,0,edgewater,41.99066,-87.66854,32.47583333,57,None
3,12/31/22,39173,0,west lawn,41.76776,-87.73013,30.38722222,53.05555556,None
4,12/31/22,124685,0,edgewater,41.991535,-87.6575,2361.7,62.27777778,None
5,12/31/22,56135,0,humboldt park,41.902527,-87.73614,19.58916667,49.77777778,None
6,12/31/22,52011,0,west town,41.911945,-87.66863,21.12125,47.3125,None
7,12/31/22,45079,1,NA,42.0225,-87.76374,1.467777778,26.22222222,None
8,12/31/22,57579,1,edgewater,41.991753,-87.657234,2.434444444,23,None
9,12/31/22,140102,0,brighton park,41.82193,-87.69146,48.13555556,64.44444444,None
10,12/31/22,151082,0,rogers park,41.998966,-87.65796,48.0125,67.66666667,None
11,12/31/22,43955,1,west ridge,41.993675,-87.6932,12.78861111,22.27777778,None
12,12/31/22,140390,1,uptown,41.975258,-87.67274,3.652222222,26,None
13,12/31/22,96035,0,mckinley park,41.828648,-87.66791,22.64194444,58.27777778,None
14,12/31/22,133664,1,near south side,41.8595,-87.6205,31.61333333,45.61111111,None
15,12/31/22,4404,0,NA,42.02362,-87.76341,34.71305556,50,None
16,12/31/22,148029,0,irving park,41.9475,-87.71516,58.54352941,53.5,None
17,12/31/22,128349,0,south deering,41.7118,-87.55293,26.73833333,54.05555556,None
18,12/31/22,7920,0,south lawndale,41.849483,-87.69537,45.19638889,52.05555556,None
19,12/31/22,4395,0,west ridge,41.99568,-87.69189,35.77722222,55.88888889,None
20,12/31/22,124649,0,east side,41.68474,-87.53683,31.00470588,53.41176471,None
21,12/31/22,124737,0,edgewater,41.994427,-87.66211,25.46388889,60.38888889,None
22,12/31/22,8476,0,near south side,41.861206,-87.62989,20.53111111,100,None
23,12/31/22,124513,1,irving park,41.95386,-87.71078,9.985555556,22,None
24,12/31/22,137622,1,edgewater,41.998116,-87.65649,2.759444444,13,None
25,12/31/22,36901,1,loop,41.88437,-87.61652,6.928611111,14,None
26,12/31/22,109598,0,west town,41.89003,-87.65576,44.63916667,44.72222222,None
27,12/31/22,96079,0,new city,41.81229,-87.66579,53.05638889,54.61111111,None
28,12/31/22,124679,0,south chicago,41.74125,-87.55403,33.79027778,61.11111111,None
29,12/31/22,151188,0,near north side,41.897343,-87.62692,48.98416667,51.44444444,None
30,12/31/22,45359,1,west ridge,41.993645,-87.69304,6.053333333,17.55555556,None
31,12/31/22,101643,0,north park,41.980278,-87.71708,48.29944444,69.61111111,None
32,12/31/22,87741,0,west town,41.90011,-87.68288,47.27166667,52.22222222,None
33,12/31/22,124759,1,north park,41.98036,-87.716576,2.966666667,14,None
34,12/31/22,94003,0,mckinley park,41.824825,-87.675125,47.03764706,63.91176471,None
35,12/31/22,6546,1,lower west side,41.856613,-87.6818,1.089444444,26.22222222,None
36,12/31/22,150042,0,edgewater,41.998127,-87.65679,44.02472222,67.77777778,None
37,12/31/22,124715,1,north park,41.980335,-87.71664,4.662777778,14,None
38,1/1/23,124677,0,edgewater,41.99066,-87.66854,38.66025694,62.20555556,None
39,1/1/23,3499,0,west town,41.892696,-87.68569,12.4049537,77.0787037,None
40,1/1/23,4395,0,west ridge,41.99568,-87.69189,37.2313132,64.91432584,None
41,1/1/23,101643,0,north park,41.980278,-87.71708,48.4186875,79.54027778,None
42,1/1/23,45359,1,west ridge,41.993645,-87.69304,11.695875,19.59861111,None
43,1/1/23,124513,1,irving park,41.95386,-87.71078,9.247175793,22.27665706,None
44,1/1/23,124679,0,south chicago,41.74125,-87.55403,45.13016667,60.53888889,None
45,1/1/23,137622,1,edgewater,41.998116,-87.65649,5.305263889,15.95138889,None
46,1/1/23,96035,0,mckinley park,41.828648,-87.66791,22.0864965,67.86013986,None
47,1/1/23,87741,0,west town,41.90011,-87.68288,45.87864085,63.1971831,None
48,1/1/23,151188,0,near north side,41.897343,-87.62692,42.702875,59.41111111,None
49,1/1/23,39173,0,west lawn,41.76776,-87.73013,26.17130042,65.1418637,None
50,1/1/23,6546,1,lower west side,41.856613,-87.6818,1.306145251,23.69134078,None
51,1/1/23,124685,0,edgewater,41.991535,-87.6575,2458.602232,64.47844228,None
52,1/1/23,151082,0,rogers park,41.998966,-87.65796,51.0060625,69.59444444,None
53,1/1/23,124759,1,north park,41.98036,-87.716576,5.304916667,17.34166667,None
